sina_code,name,tag,amount,today_pct,turnover,open_pct,price,risk_level,risk_msg,trigger_next,risk_rule,pct_10,link_dragon,vol,vol_prev,vol_ratio,code
sh601212,白银有色,★人气/成交/💰大战场,2435000000.0,-2.92,5.4,0.65,5.98,🟢 Safe,-,-,,4.91,,0,0,0,601212
sz300390,天华新能,★人气/成交/💰大战场,2432000000.0,-1.59,6.5,-0.5,54.95,🟢 Safe,-,-,,8.38,,0,0,0,300390
sh601208,东材科技,★人气/成交/💰大战场,2425000000.0,2.87,8.71,-0.15,27.56,🟢 Safe,-,-,,13.84,,0,0,0,601208
sz002602,世纪华通,★人气/成交/💰大战场,2387000000.0,-0.49,1.91,0.0,18.31,🟢 Safe,-,-,,5.23,,0,0,0,002602
sh600150,中国船舶,★人气/成交/💰大战场,2386000000.0,-1.82,0.91,-0.17,34.47,🟢 Safe,-,-,,3.92,,0,0,0,600150
sh600909,华安证券,★人气/成交/💰大战场,2371000000.0,-0.92,6.68,-1.05,7.53,🟢 Safe,-,-,,15.67,,0,0,0,600909
sh688568,中科星图,★人气/成交/💰大战场,2341000000.0,-6.05,4.96,-3.16,58.21,🟢 Safe,-,-,,17.01,,0,0,0,688568
sh688396,华润微,★人气/成交/💰大战场,2315000000.0,6.23,2.85,2.84,60.51,🟢 Safe,-,-,,9.05,,0,0,0,688396
sh603011,合锻智能,★人气/成交/💰大战场,2313000000.0,3.86,18.16,-0.08,25.84,🟢 Safe,-,-,,13.04,,0,0,0,603011
sh600259,中稀有色,★人气/成交/首板/炸板/反包预期/💰大战场,2309000000.0,7.08,11.03,2.04,62.33,🟢 Safe,-,-,,11.36,,0,0,0,600259
sh601857,中国石油,★人气/成交/💰大战场,2307000000.0,-3.6,0.14,-1.17,9.9,🟢 Safe,-,-,,1.85,,0,0,0,601857
sh601601,中国太保,★人气/成交/💰大战场,2282000000.0,1.14,0.7,-0.4,47.89,🟢 Safe,-,-,,15.68,,0,0,0,601601
sh688523,航天环宇,★人气/成交/航天/💰大战场,2259000000.0,-0.71,32.23,-6.2,74.1, 低,80.79%,次日 +10.19%,10日偏离值100%,79.59,,0,0,0,688523
sz300468,四方精创,★人气/成交/💰大战场,2257000000.0,-4.66,12.13,-4.04,35.16,🟢 Safe,-,-,,1.74,,0,0,0,300468
sh601117,中国化学,★人气/成交/💰大战场,2235000000.0,6.32,4.45,0.13,8.24,🟢 Safe,-,-,,7.43,,0,0,0,601117
sz300627,华测导航,★人气/成交/💰大战场,2220000000.0,-3.64,8.49,-3.14,40.79,🟢 Safe,-,-,,23.42,,0,0,0,300627
sz002347,泰尔股份,持仓/泰尔股份/★人气/成交/💰大战场,2218000000.0,-5.29,35.26,-4.99,12.71,🟢 Safe,-,-,,62.53,,0,0,0,002347
sz002364,中恒电气,★人气/成交/💰大战场,2215000000.0,5.82,13.89,-1.13,29.1,🟢 Safe,-,-,,18.05,,0,0,0,002364
sz300446,航天智造,★人气/成交/航天/💰大战场,2214000000.0,4.07,22.98,-1.41,26.6,🟢 Safe,-,-,,9.06,,0,0,0,300446
sz300322,硕贝德,★人气/成交/💰大战场,2205000000.0,-1.24,17.46,-2.73,28.63,🟢 Safe,-,-,,20.09,,0,0,0,300322
